,Transaction Date,Description,Amount,Category,Bank
344,2022-12-30,Zipcar Trip JAN13,345.2,Travel,Chase
345,2022-12-29,PAYPAL *RED CROSS,100.0,Gifts & Donations,Chase
346,2022-12-28,Payment Thank You - Web,58.99,,Chase
347,2022-12-17,Spotify USA,4.99,Bills & Utilities,Chase
348,2022-12-06,Payment Thank You - Web,129.14,,Chase
349,2022-11-28,LYFT   *1 RIDE 11-26,54.0,Travel,Chase
350,2022-11-20,LYFT   *2 RIDES 11-18,96.0,Travel,Chase
351,2022-11-17,Spotify USA,4.99,Bills & Utilities,Chase
352,2022-11-15,LYFT   *RIDE MON 9PM,10.4,Travel,Chase
353,2022-11-15,LYFT   *RIDE MON 2PM,17.75,Travel,Chase
354,2022-11-01,Payment Thank You - Web,1166.24,,Chase
355,2022-10-17,Spotify USA,4.99,Bills & Utilities,Chase
356,2022-10-11,SOUTHWEST,617.96,Travel,Chase
357,2022-10-10,PAYPAL *AIRBNB  HMSMNT3QR,503.29,Travel,Chase
358,2022-10-04,PAYPAL *NATIONALRAI,40.0,Travel,Chase
359,2022-10-01,Payment Thank You - Web,577.6,,Chase
360,2022-09-20,ENTERPRISE RENT-A-CAR,120.14,Travel,Chase
361,2022-09-17,Spotify USA,4.99,Bills & Utilities,Chase
362,2022-09-17,Zipcar SEP18 35254033,45.55,Travel,Chase
363,2022-09-17,Zipcar  Inc.,16.39,Travel,Chase
364,2022-09-16,MINT MOBILE,264.62,Bills & Utilities,Chase
365,2022-08-31,SQ *NICK THE GREEK SANTA,13.66,Food & Drink,Chase
366,2022-08-30,LEMONADE I* LEMONADE I,62.0,Bills & Utilities,Chase
367,2022-08-29,Payment Thank You - Web,24.6,,Chase
368,2022-08-29,PIZZA MY HEART,30.04,Food & Drink,Chase
369,2022-08-27,TST* BEACH HUT - SANTA CR,20.21,Food & Drink,Chase
